DateTime,News
,"Are There Opportunities in These Oil & Gas Stocks?  Tesoro, Western Refining, Alon USA, and Ultrapar"
,BDERX Sees a Below-Average Year
,Ultrapar Participa\xc3\xa7oes SA Earnings Analysis: 2015 By the Numbers
,Ultrapar announces its 4Q15 and 2015 results
,Ultrapar announces its 4Q14 and 2014 results
,3 Stocks to Win Amid Brazil\'s Slump
,Ultrapar Participacoes Management Discusses Q4 2013 Results - Earnings Call Transcript
,Ultrapar announces its 4Q13 and 2013 results
,Don\'t Invest In Oil & Gas Before You Read This
,Ultrapar\'s Management Discusses Q4 2012 Results - Earnings Call Transcript
,Ultrapar Announces its 4Q12 and 2012 Results
,InPlay: Ultrapar Participacoes reports Q4 EBITDA growth of 9%
,"The Zacks Analyst Blog Highlights: Jones Energy, Par Pacific, Phillips 66, Ultrapar and Sunoco"
,Crude Oil Prices Near 3-Month High: 5 Top Picks
,"Report: Developing Opportunities within Ensco plc, Third Point Reinsurance, Baxter International, Ultrapar Participacoes S.A, Endeavour Silver, and Ingles Markets  Future Expectations, Projections Moving into 2019"
,Moving Average Crossover Alert: Ultrapar Participa????es
,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q4, 2016 By the Numbers : February 28, 2017"
,Ultrapar - Earnings Release 4Q16
,Post Earnings Coverage as Marathon Petroleum\'s Q4 Results Outperformed Expectations
,Ultrapar Announces its 4Q11 and 2011 Results
,Focusing on Brazil
,"Breakouts Need Help From Groups, Sectors"
,Q4 2009 Ultrapar Participaes S/A Earnings Release - Time Not Supplied
